label;filesystem;kB;reclen;write;rewrite;read;reread;random_read;random_write;bkwd_read;record_rewrite;stride_read;fwrite;frewrite;fread;freread
vm_m;local;102400;1024;272142;815526;769520;642268;681576;860967;632336;1197364;627308;137022;3020736;7525550;6482988
vm_m;NFS;102400;1024;290000;646488;606768;473394;561825;682253;532515;794908;516282;1802307;4334768;8611669;8150955
vm_n04;local;102400;1024;286319;719257;506409;581702;748215;996799;755708;1384304;758107;293965;2918633;8191374;8151574
vm_n04;NFS;102400;1024;36077;53445;95664;91274;98981;56270;108149;53825;110390;1191167;3627849;6997362;8399631
vm_n05;local;102400;1024;302317;763945;364621;376206;430257;881969;517504;1193335;610745;361389;3986314;4859780;9500079
vm_n05;NFS;102400;1024;41988;56363;114390;113106;102539;59959;99427;54568;101162;1859721;3161555;7754075;9438699
c_m;local;102400;1024;670701;999025;1572143;1596678;1451327;1212134;1391944;1063377;1272300;776651;3994210;6617537;7582279
c_m;NFS;102400;1024;1174217;1269761;1410818;1560145;1324794;1308524;1323969;981068;1230608;1407711;2825844;7579067;7726038
c_n01;local;102400;1024;1278706;1444367;1515734;1618947;1343479;1444590;1209959;1474718;1308157;1100746;3647381;7155797;7336832
c_n01;NFS;102400;1024;1399386;1279712;1457132;1483884;1326389;1440670;1465409;1298982;1385487;1055464;4128196;7377411;7054830
c_n02;local;102400;1024;1291005;1494058;1691859;1665395;1261393;866130;1195092;506479;1343815;1362971;3873359;1832794;4175513
c_n02;NFS;102400;1024;89046;88022;1605188;1622696;1104005;83269;1155676;93408;1383278;1450978;3917986;4096499;2867693
